 
Rerun routine. 
swcommiles_difw     -0.25947042      0.02751926
whours_pww_dif     50.10062606     -0.25496049
hhours_pww     76.00934108     -0.63652478
hhours_pwn_dif   -146.36441133      0.64077433
shours    -10.44227693      0.03753506
whwk_pww    -48.15814435      0.48606077
whwk_pwn_dif     12.60604669     -0.04313764
hhwk_pww_dif     26.89339419     -0.25180390
hhwk_pwn_difhpww     64.89636308     -0.47384144
shwk      1.38234009     -0.00752133
wlfp_dif     -0.06925904      0.71331311
hlfp      0.02027332     -0.50966959
wagegap_hw_withn      0.00037727     -0.00878615
hdj      0.12393926     -1.13016574
hdo     -0.04222902      0.03751107
d_jobjob_all_psid      2.29090079     -0.65220756
d_jobjob_hwithin_psid      1.77531635     -0.50435769
d_jobjob_hw_actual     -1.58115026      0.28008211
scity_dif     -0.02495799      0.11938253
sdo_dif     -0.18163453      0.07992356
wdo_dif     -0.04463560      0.01319336
abs_hdo_wdo      0.10843330     -0.11668279
betacom_w      0.01840140     -0.02865614
betalfp_w      0.00413922     -1.69302216
betahrs_w      0.33069222     -0.55662558
betahrs0_w      3.02751539     -0.53541908
betahwk_w     -1.64655847      0.14317573
betacom     -0.30103360      0.13605868
betalfp      0.00164068     -0.09228860
betahrs     13.61235852     -0.35444820
betahrs0     18.26283977     -0.52272875
betahwk     -3.26449534      0.05478238
betalwg_w      0.00026836     -0.01400301
sdj_dif      0.01828732     -0.08586019
shouseexp     -0.00484822      0.15331427
scity      0.05776954     -0.39503978
sjobscity     -0.12229617      0.63625921
p_gradient     -0.00117362      0.02416402
p_gradient_simple     -0.04099314      1.02316033
snmarried     -0.00005904      0.00088127
L     -0.01361617      0.00259382
clmm     -0.17712030     17.71202958
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1920499086
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.5372611430
plocal_    0.6224593312
Jseg    0.7055980000
muw    0.2400000000
sw    0.3678794412
Xi    6.0496474644
wc    7.3890560989
LA0    0.5496161732
THETA    1.6572330489
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0304380468
p0_2    0.9229040540
p0_3    0.9163737257
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.711500000000000
plocal_  0.500000000000000
muw  0.240000000000000
sw  -1.000000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =        86.92168403
time =        70.85799220
 data and simulated moments 
scommiles      8.66691216      8.46019813
shcommiles_dif     -2.70849410     -2.69761599
swcommiles_difw     -0.29730105     -0.08799484
whours_pww_dif   -671.54653071   -720.85383232
hhours_pww   2206.54212703   2131.01620195
hhours_pwn_dif     63.10283874    208.98383147
shours   1873.12607014   1884.29305101
whwk_pww    973.91420861   1021.84628475
whwk_pwn_dif    683.00321900    670.10978999
hhwk_pww_dif   -604.50613192   -630.94202023
hhwk_pwn_difhpww    -50.52416769   -114.82333934
shwk    495.34145666    494.25846808
wlfp_dif     -0.22074336     -0.15004510
hlfp      0.97377889      0.95446421
wagegap_hw_withn     -0.24397495     -0.24365271
hdj     20.27689349     20.25525074
hdo     20.02657681     20.16179124
d_jobjob_all_psid     17.30000361     15.39845082
d_jobjob_hwithin_psid     16.26666944     14.88144293
d_jobjob_hw_actual      9.74049414     11.42968160
scity_dif      0.07038010      0.09397015
sdo_dif     -1.69306874     -1.46942393
wdo_dif      0.02794151      0.07605209
abs_hdo_wdo      1.86223858      1.87069398
betacom_w     -0.10535006     -0.12263575
betalfp_w     -0.00158860     -0.00564736
betahrs_w     -2.48452209     -2.87667017
betahrs0_w     -5.14604086     -8.21687492
betahwk_w      3.28461779      4.91749451
betacom      0.70642426      0.99516045
betalfp     -0.00192247     -0.00361036
betahrs     -4.93468120    -18.87265271
betahrs0     -5.46210312    -24.03256868
betahwk     -1.06397872      2.30357020
betalwg_w     -0.00117863     -0.00140768
sdj_dif     -1.40987482     -1.37659517
shouseexp      0.19300000      0.19789602
scity      0.39191477      0.33204641
sjobscity      0.49779057      0.60694963
p_gradient     -0.00876873     -0.00691263
p_gradient_simple      0.07276506      0.10123826
snmarried      0.14490000      0.14492962
L      0.53600000      0.54961617
clmm      0.00000000     -0.08886193
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.20671403     -0.43585090
shcommiles_dif     -0.01087811      0.02984775
swcommiles_difw     -0.20930621      0.02219888
whours_pww_dif     49.30730161     -0.25092329
hhours_pww     75.52592508     -0.63247651
hhours_pwn_dif   -145.88099273      0.63865795
shours    -11.16698088      0.04014003
whwk_pww    -47.93207614      0.48377906
whwk_pwn_dif     12.89342901     -0.04412106
hhwk_pww_dif     26.43588831     -0.24752025
hhwk_pwn_difhpww     64.29917165     -0.46948104
shwk      1.08298858     -0.00589256
wlfp_dif     -0.07069825      0.72813586
hlfp      0.01931468     -0.48556951
wagegap_hw_withn     -0.00032225      0.00750483
hdj      0.02164275     -0.19735386
hdo     -0.13521443      0.12010786
d_jobjob_all_psid      1.90155280     -0.54136221
d_jobjob_hwithin_psid      1.38522651     -0.39353530
d_jobjob_hw_actual     -1.68918745      0.29921963
scity_dif     -0.02359005      0.11283924
sdo_dif     -0.22364482      0.09840910
wdo_dif     -0.04811058      0.01422049
abs_hdo_wdo     -0.00845541      0.00909869
betacom_w      0.01728569     -0.02691866
betalfp_w      0.00405876     -1.66011579
betahrs_w      0.39214809     -0.66006891
betahrs0_w      3.07083406     -0.54308003
betahwk_w     -1.63287672      0.14198604
betacom     -0.28873619      0.13050060
betalfp      0.00168789     -0.09494388
betahrs     13.93797151     -0.36292674
betahrs0     18.57046556     -0.53153378
betahwk     -3.36754892      0.05651175
betalwg_w      0.00022906     -0.01195216
sdj_dif     -0.03327965      0.15625018
shouseexp     -0.00489602      0.15482564
scity      0.05986836     -0.40939195
sjobscity     -0.10915906      0.56791199
p_gradient     -0.00185610      0.03821581
p_gradient_simple     -0.02847320      0.71067131
snmarried     -0.00002962      0.00044214
L     -0.01361617      0.00259382
clmm      0.08886193     -8.88619304
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1920499086
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.1038747185
plocal_    0.6283161883
Jseg    0.7055980000
muw    0.2400000000
sw    0.3678794412
Xi    6.0496474644
wc    7.3890560989
LA0    0.5496161732
THETA    1.6585224218
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0244316797
p0_2    0.9294400230
p0_3    0.9221540380
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.525000000000000
muw  0.240000000000000
sw  -1.000000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =      9925.75524270
time =        98.75176190
 data and simulated moments 
scommiles      8.66691216      8.50753762
shcommiles_dif     -2.70849410     -2.69604647
swcommiles_difw     -0.29730105     -0.10763426
whours_pww_dif   -671.54653071   -720.24779642
hhours_pww   2206.54212703   2130.36110230
hhours_pwn_dif     63.10283874    209.63893207
shours   1873.12607014   1884.12275943
whwk_pww    973.91420861   1021.20950476
whwk_pwn_dif    683.00321900    671.27146728
hhwk_pww_dif   -604.50613192   -630.32008557
hhwk_pwn_difhpww    -50.52416769   -115.61313391
shwk    495.34145666    494.13876996
wlfp_dif     -0.22074336     -0.14673223
hlfp      0.97377889      0.95620946
wagegap_hw_withn     -0.24397495     -0.24323296
hdj     20.27689349     20.24441100
hdo     20.02657681     20.15086887
d_jobjob_all_psid     17.30000361     15.37331109
d_jobjob_hwithin_psid     16.26666944     14.86052248
d_jobjob_hw_actual      9.74049414     11.45346615
scity_dif      0.07038010      0.09345446
sdo_dif     -1.69306874     -1.46395991
wdo_dif      0.02794151      0.07529804
abs_hdo_wdo      1.86223858      1.87470381
betacom_w     -0.10535006     -0.11850482
betalfp_w     -0.00158860     -0.00573740
betahrs_w     -2.48452209     -2.83463885
betahrs0_w     -5.14604086     -8.47307270
betahwk_w      3.28461779      4.96686906
betacom      0.70642426      0.99748054
betalfp     -0.00192247     -0.00349846
betahrs     -4.93468120    -18.76537457
betahrs0     -5.46210312    -23.82682865
betahwk     -1.06397872      2.19314213
betalwg_w     -0.00117863     -0.00136716
sdj_dif     -1.40987482     -1.37105851
shouseexp      0.19300000      0.19793303
scity      0.39191477      0.33210537
sjobscity      0.49779057      0.60780690
p_gradient     -0.00876873     -0.00687389
p_gradient_simple      0.07276506      0.10081933
snmarried      0.14490000      0.14523196
L      0.53600000      0.54961617
clmm      0.00000000     -0.99587752
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.15937454     -0.33603687
shcommiles_dif     -0.01244763      0.03415427
swcommiles_difw     -0.18966679      0.02011594
whours_pww_dif     48.70126570     -0.24783919
hhours_pww     76.18102472     -0.63796251
hhours_pwn_dif   -146.53609332      0.64152594
shours    -10.99668929      0.03952791
whwk_pww    -47.29529615      0.47735203
whwk_pwn_dif     11.73175172     -0.04014582
hhwk_pww_dif     25.81395365     -0.24169705
hhwk_pwn_difhpww     65.08896622     -0.47524774
shwk      1.20268670     -0.00654384
wlfp_dif     -0.07401113      0.76225582
hlfp      0.01756943     -0.44169393
wagegap_hw_withn     -0.00074200      0.01728029
hdj      0.03248249     -0.29619827
hdo     -0.12429206      0.11040577
d_jobjob_all_psid      1.92669253     -0.54851936
d_jobjob_hwithin_psid      1.40614696     -0.39947868
d_jobjob_hw_actual     -1.71297201      0.30343278
scity_dif     -0.02307436      0.11037250
sdo_dif     -0.22910883      0.10081339
wdo_dif     -0.04735653      0.01399762
abs_hdo_wdo     -0.01246523      0.01341357
betacom_w      0.01315476     -0.02048564
betalfp_w      0.00414881     -1.69694505
betahrs_w      0.35011676     -0.58932123
betahrs0_w      3.32703184     -0.58838886
betahwk_w     -1.68225127      0.14627938
betacom     -0.29105628      0.13154922
betalfp      0.00157599     -0.08864955
betahrs     13.83069337     -0.36013336
betahrs0     18.36472553     -0.52564498
betahwk     -3.25712084      0.05465863
betalwg_w      0.00018853     -0.00983745
sdj_dif     -0.03881631      0.18224517
shouseexp     -0.00493303      0.15599607
scity      0.05980941     -0.40898882
sjobscity     -0.11001633      0.57237202
p_gradient     -0.00189484      0.03901339
p_gradient_simple     -0.02805427      0.70021512
snmarried     -0.00033196      0.00495504
L     -0.01361617      0.00259382
clmm      0.99587752    -99.58775198
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1920499086
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.1038747185
plocal_    0.6224593312
Jseg    0.7055980000
muw    0.2520000000
sw    0.3678794412
Xi    6.0496474644
wc    7.3890560989
LA0    0.5496161732
THETA    1.6588376474
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0256955830
p0_2    0.9309599694
p0_3    0.9236953218
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.500000000000000
muw  0.252000000000000
sw  -1.000000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =      4947.20988368
time =       114.54140480
 data and simulated moments 
scommiles      8.66691216      8.46637068
shcommiles_dif     -2.70849410     -2.73105054
swcommiles_difw     -0.29730105     -0.00460404
whours_pww_dif   -671.54653071   -719.94663771
hhours_pww   2206.54212703   2130.82116527
hhours_pwn_dif     63.10283874    209.17887111
shours   1873.12607014   1884.37230490
whwk_pww    973.91420861   1021.66275516
whwk_pwn_dif    683.00321900    671.64766006
hhwk_pww_dif   -604.50613192   -630.65168190
hhwk_pwn_difhpww    -50.52416769   -117.01889434
shwk    495.34145666    494.22200267
wlfp_dif     -0.22074336     -0.14836449
hlfp      0.97377889      0.95839654
wagegap_hw_withn     -0.24397495     -0.24326830
hdj     20.27689349     20.23992692
hdo     20.02657681     20.14651031
d_jobjob_all_psid     17.30000361     15.35251724
d_jobjob_hwithin_psid     16.26666944     14.82008745
d_jobjob_hw_actual      9.74049414     11.43694577
scity_dif      0.07038010      0.09374332
sdo_dif     -1.69306874     -1.46915447
wdo_dif      0.02794151      0.07643885
abs_hdo_wdo      1.86223858      1.86392340
betacom_w     -0.10535006     -0.12209932
betalfp_w     -0.00158860     -0.00618374
betahrs_w     -2.48452209     -2.76643813
betahrs0_w     -5.14604086     -9.28638138
betahwk_w      3.28461779      5.36813181
betacom      0.70642426      1.01112713
betalfp     -0.00192247     -0.00355448
betahrs     -4.93468120    -18.89399387
betahrs0     -5.46210312    -24.09450189
betahwk     -1.06397872      2.21666557
betalwg_w     -0.00117863     -0.00137504
sdj_dif     -1.40987482     -1.37694773
shouseexp      0.19300000      0.19796234
scity      0.39191477      0.33227790
sjobscity      0.49779057      0.60851428
p_gradient     -0.00876873     -0.00696435
p_gradient_simple      0.07276506      0.10227048
snmarried      0.14490000      0.14513424
L      0.53600000      0.54961617
clmm      0.00000000     -0.70273318
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.20054147     -0.42283623
shcommiles_dif      0.02255644     -0.06189119
swcommiles_difw     -0.29269701      0.03104325
whours_pww_dif     48.40010700     -0.24630660
hhours_pww     75.72096176     -0.63410981
hhours_pwn_dif   -146.07603237      0.63951182
shours    -11.24623476      0.04042491
whwk_pww    -47.74854655      0.48192670
whwk_pwn_dif     11.35555893     -0.03885850
hhwk_pww_dif     26.14554998     -0.24480180
hhwk_pwn_difhpww     66.49472666     -0.48551191
shwk      1.11945399     -0.00609097
wlfp_dif     -0.07237886      0.74544480
hlfp      0.01538235     -0.38671094
wagegap_hw_withn     -0.00070666      0.01645731
hdj      0.03696657     -0.33708733
hdo     -0.11993349      0.10653416
d_jobjob_all_psid      1.94748637     -0.55443926
d_jobjob_hwithin_psid      1.44658199     -0.41096605
d_jobjob_hw_actual     -1.69645162      0.30050639
scity_dif     -0.02336323      0.11175425
sdo_dif     -0.22391427      0.09852766
wdo_dif     -0.04849734      0.01433481
abs_hdo_wdo     -0.00168483      0.00181301
betacom_w      0.01674927     -0.02608330
betalfp_w      0.00459514     -1.87950381
betahrs_w      0.28191604     -0.47452486
betahrs0_w      4.14034052     -0.73222330
betahwk_w     -2.08351402      0.18117099
betacom     -0.30470287      0.13771709
betalfp      0.00163201     -0.09180071
betahrs     13.95931267     -0.36348244
betahrs0     18.63239877     -0.53330647
betahwk     -3.28064428      0.05505338
betalwg_w      0.00019642     -0.01024902
sdj_dif     -0.03292709      0.15459488
shouseexp     -0.00496234      0.15692293
scity      0.05963688     -0.40780902
sjobscity     -0.11072371      0.57605225
p_gradient     -0.00180438      0.03715091
p_gradient_simple     -0.02950542      0.73643487
snmarried     -0.00023424      0.00349648
L     -0.01361617      0.00259382
clmm      0.70273318    -70.27331754
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1920499086
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.1038747185
plocal_    0.6224593312
Jseg    0.7055980000
muw    0.2400000000
sw    0.3499377491
Xi    6.0496474644
wc    7.3890560989
LA0    0.5496161732
THETA    1.6608537683
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0278435842
p0_2    0.9315205761
p0_3    0.9243236483
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.500000000000000
muw  0.240000000000000
sw  -1.050000000000000
Xi  1.800000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =        18.24978782
time =       114.16614090
 data and simulated moments 
scommiles      8.66691216      8.52144326
shcommiles_dif     -2.70849410     -2.71993404
swcommiles_difw     -0.29730105     -0.05891033
whours_pww_dif   -671.54653071   -722.20307595
hhours_pww   2206.54212703   2129.20589294
hhours_pwn_dif     63.10283874    210.79414075
shours   1873.12607014   1883.50833432
whwk_pww    973.91420861   1023.07113184
whwk_pwn_dif    683.00321900    668.99887629
hhwk_pww_dif   -604.50613192   -631.98883483
hhwk_pwn_difhpww    -50.52416769   -115.17758666
shwk    495.34145666    494.21952927
wlfp_dif     -0.22074336     -0.15085265
hlfp      0.97377889      0.95383892
wagegap_hw_withn     -0.24397495     -0.24368540
hdj     20.27689349     20.23659325
hdo     20.02657681     20.14353902
d_jobjob_all_psid     17.30000361     15.32535577
d_jobjob_hwithin_psid     16.26666944     14.80088452
d_jobjob_hw_actual      9.74049414     11.44353814
scity_dif      0.07038010      0.09430444
sdo_dif     -1.69306874     -1.48129752
wdo_dif      0.02794151      0.07535262
abs_hdo_wdo      1.86223858      1.87136634
betacom_w     -0.10535006     -0.12707639
betalfp_w     -0.00158860     -0.00570024
betahrs_w     -2.48452209     -3.44078464
betahrs0_w     -5.14604086     -8.70742063
betahwk_w      3.28461779      5.15247823
betacom      0.70642426      0.97851740
betalfp     -0.00192247     -0.00376727
betahrs     -4.93468120    -19.11966778
betahrs0     -5.46210312    -24.40001047
betahwk     -1.06397872      2.56473383
betalwg_w     -0.00117863     -0.00141426
sdj_dif     -1.40987482     -1.38739047
shouseexp      0.19300000      0.19789092
scity      0.39191477      0.33244361
sjobscity      0.49779057      0.60943908
p_gradient     -0.00876873     -0.00708875
p_gradient_simple      0.07276506      0.10426163
snmarried      0.14490000      0.14490927
L      0.53600000      0.54961617
clmm      0.00000000      0.02780831
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.14546890     -0.30671721
shcommiles_dif      0.01143994     -0.03138932
swcommiles_difw     -0.23839072      0.02528356
whours_pww_dif     50.65654524     -0.25778955
hhours_pww     77.33623409     -0.64763658
hhours_pwn_dif   -147.69130201      0.64658337
shours    -10.38226419      0.03731934
whwk_pww    -49.15692323      0.49614146
whwk_pwn_dif     14.00434270     -0.04792258
hhwk_pww_dif     27.48270291     -0.25732162
hhwk_pwn_difhpww     64.65341897     -0.47206758
shwk      1.12192739     -0.00610442
wlfp_dif     -0.06989070      0.71981874
hlfp      0.01993997     -0.50128919
wagegap_hw_withn     -0.00028955      0.00674337
hdj      0.04030024     -0.36748607
hdo     -0.11696221      0.10389483
d_jobjob_all_psid      1.97464785     -0.56217199
d_jobjob_hwithin_psid      1.46578492     -0.41642150
d_jobjob_hw_actual     -1.70304400      0.30167415
scity_dif     -0.02392434      0.11443826
sdo_dif     -0.21177122      0.09318443
wdo_dif     -0.04741111      0.01401375
abs_hdo_wdo     -0.00912776      0.00982219
betacom_w      0.02172633     -0.03383398
betalfp_w      0.00411164     -1.68174320
betahrs_w      0.95626255     -1.60959394
betahrs0_w      3.56137977     -0.62983352
betahwk_w     -1.86786044      0.16241894
betacom     -0.27209314      0.12297841
betalfp      0.00184480     -0.10377036
betahrs     14.18498658     -0.36935870
betahrs0     18.93790735     -0.54205090
betahwk     -3.62871255      0.06089441
betalwg_w      0.00023563     -0.01229509
sdj_dif     -0.02248436      0.10556556
shouseexp     -0.00489092      0.15466456
scity      0.05947117     -0.40667587
sjobscity     -0.11164851      0.58086363
p_gradient     -0.00167998      0.03458962
p_gradient_simple     -0.03149657      0.78613253
snmarried     -0.00000927      0.00013836
L     -0.01361617      0.00259382
clmm     -0.02780831      2.78083083
 
 parameter value
wa   24.3827510790
b    0.0018814014
ce_    1.0000000000
ces_    1.0000000000
le_   12.9135215567
NLY    0.0000000000
eta_    0.1920499086
crra_    1.1841201389
crrat_    2.0750806077
crrah_    1.1841201389
pi_    0.4727163922
piw_    0.5541784037
piel_    0.4745824720
crrax_    0.6604936062
pish_    0.3809055188
wgap_raw   -0.2322362747
d   24.5223535898
line    1.9525741268
AS1    0.0000000000
A1   -0.1800000000
AC_sub    0.1050000000
sel    0.3328710837
dmin    0.0000000000
AC2    0.0000000000
pid_    0.3678794412
PHID_    2.7182818285
gamd_ 2000.0000000000
deltaw_    0.5000000000
jobdif_    2.4036778455
Jcenter    5.1038747185
plocal_    0.6224593312
Jseg    0.7055980000
muw    0.2400000000
sw    0.3678794412
Xi    6.6193686810
wc    7.3890560989
LA0    0.5496161732
THETA    1.6579584400
THETAHW    0.0000000000
sigmam    1.0000000000
lsbar    0.2671232877
MtoF    1.0000000000
sstaysingleh    0.1449000000
sstaysinglew    0.1449000000
mm    0.0000000000
wb    0.0000000000
typeic    3.7000000000
ic0_    0.0000000000
p0_1    1.0261551976
p0_2    0.9283383605
p0_3    0.9207718438
wfh    0.0000000000
hs_wfh    1.0000000000
p0_4    1.0000000000
wfh_share    1.0000000000
Sup1    0.0000000000
SupS    0.0000000000
Tx    5.1813471503
Tl    5.1813471503
 
 parameter value - raw inputs
eta_  -1.650000000000000
crra_  0.169000000000000
crrat_  0.730000000000000
wgap_raw  -1.460000000000000
d  0.897000000000000
line  4.000000000000000
A1  -0.180000000000000
AC_sub  0.105000000000000
sel  -1.100000000000000
pid_  -1.000000000000000
PHID_  1.000000000000000
jobdif_  0.877000000000000
Jcenter  1.630000000000000
plocal_  0.500000000000000
muw  0.240000000000000
sw  -1.000000000000000
Xi  1.890000000000000
wc  2.000000000000000
LA0  0.199120000000000
 
GMM =     11820.67973167
time =       150.14226510
 data and simulated moments 
scommiles      8.66691216      8.59617278
shcommiles_dif     -2.70849410     -2.77130272
swcommiles_difw     -0.29730105     -0.06752114
whours_pww_dif   -671.54653071   -717.88055167
hhours_pww   2206.54212703   2130.21010387
hhours_pwn_dif     63.10283874    209.78993206
shours   1873.12607014   1884.21199313
whwk_pww    973.91420861   1020.79941433
whwk_pwn_dif    683.00321900    671.84049085
hhwk_pww_dif   -604.50613192   -630.16415353
hhwk_pwn_difhpww    -50.52416769   -115.63410535
shwk    495.34145666    493.82651385
wlfp_dif     -0.22074336     -0.14927299
hlfp      0.97377889      0.95119402
wagegap_hw_withn     -0.24397495     -0.24532307
hdj     20.27689349     20.16074707
hdo     20.02657681     20.06491086
d_jobjob_all_psid     17.30000361     15.11278815
d_jobjob_hwithin_psid     16.26666944     14.54728599
d_jobjob_hw_actual      9.74049414     11.47827465
scity_dif      0.07038010      0.09515023
sdo_dif     -1.69306874     -1.51450692
wdo_dif      0.02794151      0.07772010
abs_hdo_wdo      1.86223858      1.88975959
betacom_w     -0.10535006     -0.13185754
betalfp_w     -0.00158860     -0.00551009
betahrs_w     -2.48452209     -2.55539001
betahrs0_w     -5.14604086     -7.57656134
betahwk_w      3.28461779      4.70215639
betacom      0.70642426      0.99776568
betalfp     -0.00192247     -0.00380587
betahrs     -4.93468120    -18.28345379
betahrs0     -5.46210312    -23.83527027
betahwk     -1.06397872      2.34402276
betalwg_w     -0.00117863     -0.00157059
sdj_dif     -1.40987482     -1.41697007
shouseexp      0.19300000      0.19791429
scity      0.39191477      0.33498786
sjobscity      0.49779057      0.61661615
p_gradient     -0.00876873     -0.00832070
p_gradient_simple      0.07276506      0.12389603
snmarried      0.14490000      0.14526226
L      0.53600000      0.54961617
clmm      0.00000000     -1.08678900
 
 data and simulated moments: and dif and weighted dif 
scommiles      0.07073938     -0.14915204
shcommiles_dif      0.06280862     -0.17233658
swcommiles_difw     -0.22977991      0.02437031
whours_pww_dif     46.33402096     -0.23579236
hhours_pww     76.33202316     -0.63922702
hhours_pwn_dif   -146.68709332      0.64218701
shours    -11.08592299      0.03984866
whwk_pww    -46.88520572      0.47321299
